"barangay","teenage_pregnancy_rate"
"Assumption","1"
"Bagong Buhay","2"
"Ciudad Real","29"
"Dulong Bayan","25"
"Francisco Homes-Guijo","14"
"Francisco Homes-Mulawin","19"
"Francisco Homes-Narra","5"
"Francisco Homes-Yakal","7"
"Gaya-gaya","20"
"Graceville","6"
"Gumaoc Central","14"
"Gumaoc East","5"
"Gumaoc West","4"
"Kaybanban","48"
"Kaypian","15"
"Maharlika","11"
"Muzon","11"
"Paradise III","16"
"Poblacion","17"
"Poblacion I","4"
"San Isidro","8"
"San Manuel","6"
"Santo Cristo","12"
"Sapang Palay Proper","2"
"Tungkong Mangga","20"
